source_file,source_locator,experiment_type,partition,concepts,ranks,seeds,metrics,row_count,row_unit,notes,sha256
results/final_test_results.csv,whole file,main rank comparison,held-out final test,Taylor Swift; Vincent van Gogh; Claude Monet; car; airplane; dog; cat,1; 2; 4,3025-3029,target CLIP residual,70,sample rows,Primary main/aggregate source; rank-one adaptive rows reuse baseline,281d1b42d3246b6d47654caedef7414214be68d3b82d81864c5584754a8586dc
results/pilot_results.csv,whole file,early rank stability pilot,calibration / exploratory pilot,Vincent van Gogh; car; dog,"Van Gogh:1,4,7; car/dog:1,2,4",2025-2027,target CLIP residual,27,sample rows,"Incomplete candidate grid; Van Gogh rank7 is exploratory, never pooled into main test",1482080e9575c347f3dc597da87cb4531ea16b54fa9011c5aa616fa1e1a266e5
results/runs/car-gpu-parity-20260925/checkpoint/calibration_results.csv,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,1,sample rows,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",b0a75858c98804f25cddf60165b6485195df0faa4970221a5117611de3f0fbce
results/runs/car-gpu-parity-20260925/checkpoint/manifest.json,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,1,metadata object,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",e8ea48456dabedfce909eb24f7c14f4fe25846e02a6a5be2e09ac2f5461baf5f
results/runs/car-gpu-parity-20260925/report.json,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,1,metadata object,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",51da1a0894a87502969c65c2a6fcdae6df7d65303eeef3f2596a38fe1639673f
results/runs/car-gpu-parity-20260925/resume.log,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,,not a data table,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",51da906f51964733157812b613d71c8878cbcb5f8a472bac56f14cd763b759b1
results/runs/car-gpu-parity-20260925/resume_report.json,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,1,metadata object,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",a644f00c9675fb8f66037d7f21bc1030e4f79bc41386c38dc465c1305dfdc5f7
results/runs/car-gpu-parity-20260925/run.log,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,,not a data table,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",60186d4c0b003c23ce0e7bad7e2482ace5385d899411e8f00e45ea06c6cb0019
results/runs/car-gpu-parity-20260925/smoke_test.py,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,,not a data table,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",f5b852206bd604c11120c735b28336b33ec24bc94afeeaa24f06da5eee02bad1
results/runs/car-gpu-parity-20260925/validation.json,whole file,previous GPU parity smoke test,implementation validation (excluded from research aggregates),car,1,2025,target CLIP residual; parity/checkpoint metadata,1,metadata object,"Existing smoke test duplicate; read only, never rerun or added to research sample counts",b16d2a65a76998924930dd1d75dfeda1d472d12e9a817a64dc6a68c4062f4058
results/selected_ranks.csv,whole file,frozen first-stage selections,calibration selection metadata,Taylor Swift; Vincent van Gogh; Claude Monet; car; airplane; dog; cat,1; 2; 4,2025-2027 (selection protocol),selected rank,7,concept records,Original mapping; exploratory Car rank4 does not replace Car rank2,96c6160c6c23fa51d134f52c86efe9387a6dcb127a6c60d7d85b05bb77078a74
results/spectrum_summary.csv,whole file,uncentered activation SVD,spectrum,Taylor Swift; Vincent van Gogh; car; dog,energy thresholds70/80/90/95%,not applicable,PC1 energy; cumulative-energy ranks,4,concept records,Supplement absent concepts from cached spectrum metadata; do not recompute SVD,b76f6bf015936c4dca8e3d5a10e36cf4600c50aa76e3258bd9775593b4d2d01a
results/subspaces/airplane.pt,whole file,cached concept subspace,spectrum,airplane,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,147 singular values; CPU read only; no SVD recomputation,dc28989a90f59ffb226a5f7063469e3a280756fc9c7fcace2fa97d8c28cbbccf
results/subspaces/car.pt,whole file,cached concept subspace,spectrum,car,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,147 singular values; CPU read only; no SVD recomputation,4f75060b6186eb44709537c1e63158e47b5e4ea3b4f1a91d494a44c5f81add53
results/subspaces/cat.pt,whole file,cached concept subspace,spectrum,cat,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,147 singular values; CPU read only; no SVD recomputation,615d3ea08d9069204e75794239914e82f8eef0ae1b365a2a86780210c4c4e50b
results/subspaces/claude_monet.pt,whole file,cached concept subspace,spectrum,Claude Monet,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,167 singular values; CPU read only; no SVD recomputation,adb2b39d552b30d847d84445387b26163822c0b22f2bfddc16185375d7e92d28
results/subspaces/dog.pt,whole file,cached concept subspace,spectrum,dog,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,147 singular values; CPU read only; no SVD recomputation,fcf8b6ccc2f321b2c62a6d342a7d8da41e9d061abbb4a541bca36627568fed55
results/subspaces/taylor_swift.pt,whole file,cached concept subspace,spectrum,Taylor Swift,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,167 singular values; CPU read only; no SVD recomputation,5d15fbfe0335f6003c7a2bb2c69f2c833774cd7dd6de13e54198212b61594aee
results/subspaces/vincent_van_gogh.pt,whole file,cached concept subspace,spectrum,Vincent van Gogh,basis modes,not applicable,U; S; energy ratios; threshold ranks,1,concept cache,187 singular values; CPU read only; no SVD recomputation,9190503b41d68c1903524b5210eaa2f676160868fd6faa5ae934af1ba265f71c
results/van_gogh_preservation.csv,whole file,original vs projected preservation,preservation,Vincent van Gogh,original; 1; 4,4025-4027,preservation CLIP,36,prompt-seed-method rows,Four prompts x three seeds x three methods; full precision,488cdbbb9ad560fed9bacde1385f23193af9a11ab57ba7b6013932fbab664465
experiments/adaptive_rank_experiment.ipynb,zero-based cells 50;51,calibration summary,calibration summary,Vincent van Gogh; Claude Monet,1;2;4;8,2025-2027,CLIP cosine / selection,8,rank means,Six-decimal saved means; no complete full-precision calibration CSV,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 75,preservation,preservation,Vincent van Gogh,2;8,4025-4027,CLIP cosine / selection,24,printed sample rows,Six-decimal samples; prefer full-precision aggregate means in cell76,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 76,preservation aggregate,preservation aggregate,Vincent van Gogh,original;1;2;4;8,4025-4027,CLIP cosine / selection,5,method/rank means,Full-precision printed means; original/r1/r4 cross-checked against CSV,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 79,preservation,preservation,Claude Monet,1;2;4;8,4025-4027,CLIP cosine / selection,48,printed sample rows,Six-decimal samples; means in cell80 and degradation in81 retained at recorded precision,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 77;81,calibration/preservation trade-off,calibration/preservation trade-off,Vincent van Gogh; Claude Monet,1;2;4;8,target2025-2027;preservation4025-4027,CLIP cosine / selection,8,rank summary rows,Target and preservation splits remain distinct; percentages saved to six decimals,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 82,preservation-budget sensitivity,preservation-budget sensitivity,Vincent van Gogh; Claude Monet,1;4 selected,same trade-off samples,CLIP cosine / selection,6,concept-budget selections,Budgets10/15/20%; negatives clamped to0 for feasibility only,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 87,exploratory preservation,exploratory preservation,car,1;2;4;8,4025-4027,CLIP cosine / selection,48,printed sample rows,Mixed prompt diagnostic includes the Car target prompt,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 92,exploratory calibration recovery,exploratory calibration recovery,car,8,2025-2027,CLIP cosine / selection,3,rounded recovered samples,Six-decimal literals; not full-precision original CSV observations,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 93;94,exploratory preservation-aware selection,exploratory preservation-aware selection,car,1;2;4;8,target2025-2027;preservation4025-4027,CLIP cosine / selection,4,rank summary rows,20% budget selects4; original main selection remains2,6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
experiments/adaptive_rank_experiment.ipynb,zero-based cells 95,exploratory rank4 follow-up,exploratory rank4 follow-up,car,4,3025-3029,CLIP cosine / selection,5,printed sample rows,"Same held-out seeds reused; full-precision printed aggregate mean/SD, six-decimal sample scores",6e0a7f1b98ba80bdf7a679c9626e2423bd5831fa0dc651964a952b41eb0dadde
